name,lon,lat,May,June,July,Aug,Sep,Oct
50189,121.474184,31.2061108,1188.794075,1192.000229,1272.404052,1346.009812,868.7938239,1026.402129
50204,121.473123,31.2013964,554.5332831,672.8013928,657.3725075,647.038153,64.27922309,64.27922309
50205,121.472623,31.201243,2822.019907,2456.103646,2577.209269,2551.186156,2347.390184,1995.103595
50206,121.47542,31.2028716,871.0537507,894.01507,933.1480223,1087.873637,1531.655042,1424.289719
50207,121.475187,31.2033389,658.2321203,666.2000076,656.702922,740.7065077,889.8621527,1224.3955
50208,121.47494,31.2037983,659.7909272,702.3176671,618.0782771,661.6338073,1207.894736,1024.67722
50209,121.474779,31.2042919,1815.967081,1605.560896,1630.509452,1475.78333,1147.486854,1165.18766
50210,121.474623,31.204789,588.7520885,580.2636295,637.8703936,696.8780315,891.5303189,1130.861751
50211,121.475183,31.2022748,259.2820893,263.8430286,267.7780634,434.4789758,395.879489,48.5133212
50212,121.474691,31.2020973,0.926860334,0.926860334,0.926860334,0.926860334,0.926860334,0.926860334
50213,121.474222,31.2018597,350.9677077,267.1350761,341.8922738,418.3766433,486.175045,47.96919644
50214,121.473762,31.2016071,1136.903557,1495.440686,1433.890471,1133.390816,858.455504,788.8274437
50215,121.476185,31.2025418,477.9701544,511.1211479,623.6200106,618.0945874,703.7107283,516.423174
50216,121.476398,31.2020627,555.0435627,559.1799538,447.5677373,424.6211562,213.7047608,364.5895735
50217,121.481143,31.2030352,614.1104733,451.1046445,593.0837526,763.4656446,900.9753482,923.7971065
50218,121.481141,31.2025092,859.5607516,731.4495881,828.3741899,877.7016114,1258.919283,1282.266805
50220,121.480236,31.2037754,0,0,0,0,0,0
50221,121.480059,31.203565,1111.088797,829.6619821,1076.948544,959.4225878,1295.336584,1014.820379
50222,121.480582,31.2035769,1412.77156,1495.484061,1519.597578,1049.20299,598.7138138,763.8723857
50223,121.480897,31.2044191,1072.248977,1142.744283,1147.841916,1012.876209,1084.139023,1268.806473
50224,121.480498,31.2053872,1147.007722,1062.344907,1043.710935,1589.685349,1865.52988,942.5133567
50225,121.481076,31.2058321,2116.379123,2153.310877,2329.399583,1955.318834,1552.628486,1247.541124
50226,121.481575,31.2060007,1286.527991,1880.137553,1589.869009,1061.322713,1336.558532,795.01567
50227,121.482079,31.2061482,1153.759233,1174.480223,1122.885636,1615.476759,1580.550013,967.3399084
50230,121.47632,31.2012781,1182.638761,1377.637027,1128.049187,653.4298827,518.2637159,157.2575651
50231,121.476261,31.2015052,492.1778647,581.9076354,576.1488107,498.6760181,675.6184677,455.8044266
50235,121.478551,31.2043292,331.1582336,449.9281671,292.0184904,309.9120498,182.7047853,4.87830859
50236,121.479051,31.2044793,19.32602001,19.32602001,19.32602001,19.32602001,19.32602001,19.32602001
50237,121.479552,31.2046279,629.8005359,907.9190706,779.6023501,757.9974773,442.3634594,123.7582314
50238,121.480049,31.2047935,0,0,0,0,0,0
50239,121.480559,31.2048949,1310.37468,1135.351597,1132.233844,1543.362575,1694.730489,916.0395278
50242,121.477784,31.2033112,1995.043122,1540.435409,1649.755466,1880.438314,1868.964519,1952.338061
50243,121.477327,31.2030606,628.8375178,320.5708882,412.8578657,613.1795001,218.241662,48.04031415
50245,121.47875,31.2037135,698.6804138,922.5219287,841.149576,803.3913246,226.6165403,171.528745
50246,121.479243,31.2038838,5.488447711,5.488447711,5.488447711,5.488447711,5.488447711,5.488447711
50247,121.479757,31.2039705,1030.131889,666.8129348,875.6397838,987.4550824,1326.700188,1263.548802
50248,121.480282,31.2039817,0,0,0,0,0,0
