FID,lng,lat
173,121.5122795,31.36934269
174,121.5126811,31.36901502
175,121.5131016,31.36870842
176,121.5135719,31.36847296
177,121.5140621,31.36830265
178,121.5145256,31.36817182
179,121.5149588,31.3678807
180,121.5154298,31.36764658
181,121.5159201,31.36747168
182,121.516428,31.3675863
183,121.5221968,31.37591703
184,121.522325,31.37618953
185,121.5236974,31.37542885
186,121.5247147,31.375854
187,121.5236973,31.37593889
188,121.5231987,31.37608781
189,121.5247018,31.3756393
190,121.5241375,31.37499212
191,121.5245259,31.37463969
192,121.5249416,31.37431884
193,121.5254816,31.37553202
194,121.524963,31.37559261
195,121.5255278,31.37577957
196,121.5250031,31.37576964
197,121.5265099,31.37533654
198,121.5260356,31.37555351
199,121.5275207,31.3752671
200,121.5280346,31.37517224
201,121.5285482,31.3750762
202,121.5290697,31.3750108
203,121.5295847,31.37490899
204,121.5300952,31.37478453
205,121.5305981,31.37463996
206,121.5265551,31.37558202
207,121.5260294,31.37557109
208,121.4736494,31.36989301
209,121.4738225,31.36940039
210,121.4739732,31.36889714
211,121.4741132,31.36839055
212,121.4742425,31.36788096
213,121.4743802,31.36737372
214,121.4741302,31.37055019
215,121.4746378,31.37068733
216,121.4751428,31.37083448
217,121.4756506,31.3709703
218,121.4731384,31.37020975
219,121.4726321,31.37006927
220,121.4721277,31.36992082
221,121.4716229,31.36977437
222,121.4711158,31.36963599
223,121.4706101,31.36949326
224,121.4701011,31.36936214
225,121.4695974,31.36921117
226,121.4690921,31.36906648
227,121.4685855,31.36892666
228,121.4680797,31.3687847
229,121.4675775,31.36863401
230,121.4670729,31.36851429
231,121.4665771,31.36834253
232,121.4660701,31.36821213
233,121.465573,31.36804373
234,121.465066,31.3679127
235,121.4645619,31.36777396
236,121.46406,31.36762593
237,121.4635418,31.36755653
238,121.4630439,31.36738707
239,121.4625359,31.36725875
240,121.4796312,31.37126372
241,121.479519,31.37075159
242,121.4794322,31.37023649
243,121.4793585,31.36971638
244,121.4792609,31.36919961
245,121.479055,31.3717637
246,121.4785911,31.37200378
247,121.4799073,31.3718045
248,121.4808974,31.37221331
249,121.4801651,31.37224676
250,121.4804192,31.37231724
251,121.4836508,31.37017396
252,121.4833566,31.37060428
253,121.4834756,31.36955595
254,121.4829795,31.36938571
255,121.4824773,31.3692485
256,121.4819714,31.36911148
257,121.4814643,31.36897474
258,121.4809551,31.36885498
259,121.4804295,31.36884531
260,121.4799036,31.36884594
261,121.4793776,31.36884354
262,121.4844449,31.36996046
263,121.4849154,31.37019562
264,121.4853933,31.37041365
265,121.4858747,31.37062372
266,121.4863456,31.37085811
267,121.4868145,31.37109628
268,121.482303,31.37213283
269,121.4826034,31.37170221
270,121.4829095,31.37127509
271,121.4813598,31.37276126
272,121.4824149,31.37282457
273,121.4822759,31.37304652
274,121.4857678,31.3740363
