name,PF,PD_5,PD_6,PD_7,PD_8,PD_9,PD_10
19369,0.009607644,0.085134726,0.207777209,0.196143892,0.028339283,0.08057273,0.187323878
19370,0.022676379,0.197403963,0.253300294,0.260416354,0.186123435,0.185584586,0.182894916
19371,0.058962267,0.336909037,0.287997605,0.302529076,0.248262777,0.163716222,0.126499514
19372,0.102714347,0.177763551,0.180958784,0.184601768,0.187304107,0.233276746,0.112323419
19373,0.105646407,0.249043842,0.314742677,0.300833095,0.199455685,0.273079677,0.144960309
19374,0.299688484,0.353852314,0.482948748,0.441517514,0.369248494,0.522396322,0.502024
19375,0.060086784,0.367767151,0.467426694,0.409897612,0.21690094,0.197159069,0.096199525
19376,0.34779841,0.45211872,0.549843107,0.504724687,0.487786282,0.568489982,0.51502732
19377,0.069525472,0.307218781,0.294627856,0.293815967,0.349183564,0.383389041,0.297892876
19378,0.002450941,0,0,0,0.010952944,0.032872325,0.174146821
19379,0.261702528,0.496341614,0.488907968,0.531530612,0.42038144,0.437570415,0.424070948
19380,0.032044022,0.086669808,0.138676176,0.052138807,0.169056128,0.171203467,0.250127504
19381,0.091055097,0.156909528,0.15569889,0.131525903,0.173447865,0.398157822,0.296528079
19382,0.225420638,0.365593404,0.322502761,0.362871115,0.371193807,0.416471892,0.392841646
19387,0.321924536,0.685316415,0.612776951,0.643881122,0.664063882,0.675989368,0.692958637
19388,0.008515253,0.338871265,0.207262258,0.318717549,0.341274509,0.281263191,0.081730091
19389,0.011507095,0.196699682,0.270818387,0.238494228,0.107224653,0.162825622,0.122929702
19390,0.214953914,0.359649146,0.339434398,0.317649325,0.319681931,0.416182373,0.432918817
19391,0.072522475,0.293165334,0.429401125,0.446811719,0.264152411,0.246295964,0.14121046
19392,0.218274985,0.468442122,0.441663015,0.430221065,0.492737888,0.521207096,0.621080167
19397,0.215883332,0.192509972,0.206924462,0.169151568,0.203220424,0.269450268,0.31878638
19398,0.228468673,0.2787973,0.221755868,0.248743527,0.332153333,0.339428259,0.396226963
19399,0.05714822,0.142458142,0.233084363,0.193520586,0.10456597,0.261702876,0.281765598
19400,0.073160514,0.334866341,0.530591542,0.491629223,0.31087374,0.374521479,0.418368485
19401,0.312609723,0.627374979,0.700250078,0.665375738,0.495645625,0.414421036,0.5193796
19402,0.108590078,0.207966956,0.340033413,0.226824043,0.276150441,0.229887464,0.134799533
19403,0.015291491,0.107150021,0.201295905,0.175401784,0.139972525,0.117122497,0.050666873
19404,0.097476225,0.274255795,0.292673686,0.284112099,0.321493267,0.23409594,0.267690013
19405,0.315275081,0.650265333,0.674371072,0.64306319,0.640599157,0.591903346,0.599131692
19406,0.015297743,0.095987209,0.072711236,0.085559833,0.078939215,0.12704153,0.155445742
19407,0.008056992,0.032451403,0.072830247,0.057111325,0.059778207,0.044888626,0.096130814
19408,0.009596236,0.097476209,0.131129211,0.146557494,0.1280015,0.077128171,0.078938348
19409,0.007417676,0.007780126,0.025521053,0.020074776,0.054309348,0.127043101,0.06089187
19410,0.009259757,0.176707852,0.174653417,0.220177576,0.145978237,0.102379423,0.015165941
19411,0.036015567,0.143132849,0.141940891,0.166783695,0.149268782,0.105505712,0.078028738
19412,0.003135586,0,0,0,0,0.083329247,0.031833827
19413,0.116170034,0.433303866,0.423189801,0.425914507,0.479442304,0.498074831,0.312176776
19414,0.058794941,0.235660404,0.376337243,0.337093972,0.203818015,0.098442055,0.184770598
19415,0.172926747,0.218885988,0.196992595,0.255852978,0.268887289,0.346050681,0.38631752
19416,0.18679245,0.274174197,0.311360921,0.312252531,0.280002144,0.248741909,0.313189534
19417,0.106532985,0.152240542,0.119880575,0.1293199,0.210329256,0.218987242,0.320886774
19418,0.068405457,0.110830115,0.151452241,0.091689125,0.108624215,0.233908283,0.349823696
19419,0.143676578,0.371919504,0.338839123,0.352433071,0.313605716,0.188897479,0.072373368
19420,0.050531675,0.349865505,0.338743383,0.290220728,0.181505776,0.056091253,0.192785982
19421,0.162935132,0.24367641,0.159434994,0.187769066,0.331618135,0.466219926,0.484330087
19422,0.196780169,0.37786139,0.396915156,0.356744188,0.415446646,0.356965795,0.396960014
19423,0.084284237,0.494864753,0.507234029,0.516227732,0.563985054,0.494052492,0.280485399
19424,0.095201731,0.166499274,0.265682973,0.218143864,0.087209908,0.22119634,0.37642583
19425,0.043189288,0.054093032,0.061161151,0.059441712,0.046132025,0.055411253,0.062669194
19426,0.27086169,0.311979521,0.288615514,0.327054984,0.398348198,0.482553772,0.532217919
19428,0.392481308,0.688873126,0.631755326,0.647888574,0.733087253,0.806535719,0.742765535
19429,0.211644366,0.349524987,0.365415546,0.397003792,0.236037826,0.223566603,0.247386043
19430,0.250401047,0.560746032,0.621147529,0.600864007,0.572266863,0.398603844,0.475271505
19431,0.192911046,0.59271794,0.572616829,0.566211573,0.430575378,0.495630085,0.361180249
19432,0.149611403,0.57607398,0.539650364,0.598742116,0.56640198,0.413347907,0.45157988
19433,0.240277152,0.64275999,0.671574608,0.61491333,0.635923737,0.530319054,0.346475173
19435,0.150542796,0.151720672,0.120663847,0.119924396,0.129295254,0.189965998,0.279373724
19442,0.001813241,0.016273561,0,0,0.034208265,0.026392412,0.116559561
19443,0.179204203,0.353632111,0.367692454,0.360341691,0.357883792,0.333440862,0.475326886
19444,0.004701869,0.005547765,0.025010375,0.005127208,0,0.02867099,0.132578538
19445,0.050721493,0.145987323,0.128236944,0.169839258,0.156829251,0.18983317,0.332763599
19447,0.002107316,0.008161479,0,0.00685026,0.034001171,0.013400373,0
19448,0.066475566,0.082872028,0.071423651,0.088070565,0.022326886,0.046640913,0
19449,0.012446946,0.055635183,0.070929881,0.078915016,0.058128855,0.059096305,0
19450,0.026431346,0.132685715,0.122071174,0.17723008,0.150946953,0.218900262,0.109689796
19451,0.151622414,0.512835367,0.488014092,0.540195029,0.548309601,0.436722928,0.273833477
19452,0.124773566,0.298794145,0.263420732,0.266062263,0.273366891,0.337798408,0.174711039
19453,0.034331721,0.150231642,0.110199249,0.119002437,0.175404155,0.272751794,0.288554057
19454,0.058119335,0.240986032,0.175719052,0.184939612,0.213103295,0.247440293,0.240287256
19455,0.1527089,0.31705726,0.278696455,0.315864443,0.317405178,0.305902064,0.220054258
19456,0.237954903,0.318649409,0.320880859,0.306656013,0.273837215,0.415126762,0.339155475
19457,0.303942208,0.390223704,0.502607939,0.413713598,0.302869155,0.38077775,0.480635887
19458,0.292542355,0.488327209,0.438865022,0.464983886,0.454076617,0.416685589,0.481240693
19460,0.197762273,0.181698776,0.164127315,0.168822828,0.233575935,0.31726555,0.336888501
19461,0.240989294,0.24191929,0.265510965,0.246293969,0.239500745,0.362209635,0.424084339
19463,0.249933353,0.507095729,0.594839441,0.628442314,0.490949757,0.449270917,0.401933354
19464,0.242051915,0.509961125,0.626351938,0.553874375,0.375738637,0.392611187,0.278425741
19465,0.279956927,0.4388229,0.505042529,0.470275792,0.342767661,0.391065721,0.462011843
19467,0.35330006,0.562549843,0.583817461,0.579487197,0.599184029,0.590029598,0.562827774
19471,0.308324631,0.56919977,0.482761191,0.514695621,0.581004084,0.419183485,0.325831718
19472,0.295664258,0.468863413,0.419299307,0.444229543,0.541858672,0.417318411,0.38358804
19473,0.246132006,0.642766072,0.694416544,0.704683679,0.773391944,0.824254121,0.728123454
19474,0.215327456,0.465306166,0.532494494,0.533805352,0.504663951,0.418951919,0.431314309
19475,0.428975539,0.773648086,0.805568353,0.786255337,0.803933112,0.65907544,0.676888011
19476,0.270138578,0.573025975,0.630622457,0.553779473,0.558563631,0.373790975,0.439393763
