name,PF,PD_5,PD_6,PD_7,PD_8,PD_9,PD_10
59784,0.426935747,0.843221681,0.753179604,0.805822276,0.803934039,0.858766255,0.860964208
59785,0.331565074,0.722613017,0.636054805,0.630320813,0.769492851,0.757900249,0.45763869
59786,0.301318198,0.532033648,0.560003882,0.566568708,0.446555887,0.36710374,0.353764603
59788,0.28656103,0.567259624,0.510299393,0.589859167,0.533475362,0.354138582,0.381679598
59789,0.110587747,0.168280208,0.163585961,0.129962236,0.138336573,0.134992714,0.187856287
59790,0.211119259,0.479697144,0.585441929,0.642304032,0.407468632,0.406030872,0.46453124
59791,0.0367011,0.283563983,0.235592375,0.275118388,0.250725993,0.344943782,0.423316316
59792,0.105655304,0.423740741,0.365020958,0.395590156,0.585408029,0.657023719,0.709282249
59793,0.196858739,0.689538928,0.567643926,0.631244364,0.681880482,0.275055615,0.09656209
59794,0.08417602,0.348779382,0.318462069,0.375347028,0.587862664,0.416799623,0.453047947
59795,0.333437737,0.747184998,0.649511865,0.707079681,0.721763073,0.75552251,0.792249054
59796,0.350893747,0.729174276,0.689755418,0.737909354,0.734511949,0.807004808,0.843931165
59798,0.332796266,0.725679141,0.758446428,0.724277821,0.719543411,0.723062598,0.744508064
59799,0.365562998,0.659662034,0.64958413,0.664357409,0.718408594,0.553291056,0.429014917
59800,0.21040373,0.192218923,0.208304296,0.21804727,0.23209963,0.242264123,0.286997972
59801,0.423532387,0.774927542,0.753799809,0.77082073,0.805428959,0.771362794,0.792358274
59804,0.125697491,0.541612915,0.516712062,0.520081294,0.510309844,0.441659976,0.320584161
59805,0.065715524,0.359485903,0.256178736,0.358704903,0.379576911,0.335797985,0.261540252
59806,0.267104334,0.600317518,0.674073009,0.643685162,0.613861043,0.62272235,0.45426793
59807,0.039758897,0.100699161,0.115126509,0.116148581,0.188219694,0.359490072,0.76374898
59808,0.201114786,0.357651288,0.33368674,0.339227627,0.385566426,0.454269001,0.626514252
59809,0.138484822,0.230570589,0.299889549,0.236010086,0.185557782,0.244722374,0.328559935
59810,0.406211118,0.588942576,0.640459596,0.622308309,0.648361313,0.77490609,0.81498521
59811,0.478439675,0.912214362,0.928595403,0.928309169,0.9277996,0.964536991,0.982583856
59812,0.438760715,0.802908516,0.914985232,0.832127623,0.852771011,0.914982902,0.79447798
59813,0.409403881,0.933554987,0.830767553,0.834606792,0.812012496,0.759273484,0.782611131
59814,0.340972104,0.653552937,0.722538786,0.614998288,0.645780157,0.634009697,0.596416413
59815,0.450243104,0.744708496,0.792663472,0.790153919,0.786056246,0.807084735,0.715944903
59816,0.444818036,0.842664053,0.78627118,0.821135048,0.861746448,0.773693618,0.79767078
59817,0.435827303,0.629164057,0.672999798,0.686586788,0.699428453,0.70428777,0.625831029
59818,0.43468029,0.777493634,0.893477994,0.892326079,0.718483823,0.806729586,0.70816182
59819,0.451916693,0.774286976,0.858588577,0.856861251,0.768189041,0.858432525,0.758470998
59820,0.417152636,0.790756103,0.787534081,0.821917538,0.784836332,0.76121082,0.709217572
59821,0.349412076,0.809815576,0.754283582,0.786597157,0.840286842,0.841249915,0.826894259
59822,0.327370881,0.774927203,0.719301083,0.7703238,0.838504172,0.823702925,0.647379454
59823,0.30609119,0.76079096,0.70470762,0.690988439,0.739500496,0.601646744,0.529898434
59824,0.433029443,0.879485588,0.875007514,0.892230651,0.911068452,0.613353612,0.695872723
59825,0.419738049,0.84463679,0.8753913,0.839604445,0.861103935,0.773073113,0.863036282
59826,0.122679046,0.283711507,0.354585614,0.359105025,0.269864543,0.374926109,0.360133935
59827,0.121876337,0.318074882,0.305590571,0.341758286,0.325673494,0.2965001,0.327113513
59828,0.006683347,0.057638645,0.090229763,0.062629316,0.050713159,0.042560672,0.04801436
59829,0.345196309,0.730634698,0.68515652,0.724249725,0.736364597,0.627598471,0.647322916
59831,0.298905252,0.692440011,0.689031739,0.721927414,0.685634912,0.671547266,0.680951112
59839,0.183962451,0.27195485,0.424800924,0.312883881,0.267932494,0.263362994,0.234263947
59840,0.186293961,0.249426093,0.25988963,0.24756199,0.264727561,0.317805632,0.318595236
59841,0.219790548,0.290583138,0.276882882,0.274680086,0.265606264,0.276826733,0.341580557
59842,0.286642846,0.441963857,0.463682344,0.485550105,0.474016439,0.51030927,0.458393197
59843,0.314085572,0.556496236,0.660047611,0.592193408,0.541646467,0.544210554,0.64984123
59844,0.297851505,0.418190049,0.501868135,0.453000281,0.52397294,0.487308398,0.452698429
59845,0.288394794,0.327843867,0.497365545,0.407532996,0.323574993,0.352730578,0.423749575
59846,0.262191226,0.340214065,0.409942877,0.298196693,0.266583895,0.31144084,0.31103675
59847,0.292358363,0.434169811,0.416101026,0.456156071,0.345221924,0.3114389,0.409236837
59862,0.017214225,0.073397468,0.247760875,0.121801275,0.152683798,0.165426524,0.174997532
59863,0.344325563,0.671648373,0.682916594,0.682850981,0.643370397,0.568192765,0.371898623
59864,0.172781507,0.131303308,0.108377349,0.129521242,0.113741386,0.138416851,0.163454655
59865,0.035131601,0.048005868,0.025391183,0.042525988,0.047799726,0.249406326,0.452382696
59866,0.074052819,0.197719603,0.169057423,0.173682203,0.152297542,0.110825868,0.081228655
59924,0.43772523,0.809764443,0.857286728,0.856823145,0.806058191,0.841175604,0.733527675
59925,0.415029869,0.810168503,0.806183862,0.770837053,0.839717859,0.677154046,0.597504208
59937,0.357700013,0.758219683,0.787205709,0.856742895,0.734036408,0.720846636,0.662669196
59938,0.335054242,0.699980616,0.660925773,0.619608376,0.748681991,0.755907734,0.810240776
59939,0.35375551,0.570430932,0.608388111,0.585847583,0.681843377,0.667626749,0.792924375
59940,0.373518824,0.764957232,0.836756892,0.824921953,0.684924119,0.713701195,0.603885007
59941,0.342358119,0.878054152,0.877242708,0.892506266,0.822718734,0.845808932,0.663614487
59942,0.379894961,0.731369508,0.753196154,0.767892325,0.730157244,0.670638321,0.865340674
59943,0.365721441,0.935641841,0.878707505,0.898980545,0.776956583,0.797141903,0.69704533
59944,0.323928874,0.736791976,0.668921597,0.748327744,0.839111568,0.806632855,0.705315886
59951,0.405415822,0.617193785,0.561384738,0.614447275,0.635276622,0.698480467,0.748482423
59973,0.344593059,0.72838805,0.67716517,0.710983951,0.773439422,0.911561813,0.895465501
59980,0.23251427,0.62279105,0.547998543,0.567939668,0.665954248,0.894360734,0.896537546
59981,0.356442578,0.738947932,0.701063638,0.734263813,0.732912035,0.929193687,0.947899954
60002,0.408238208,0.84345093,0.874788388,0.824773173,0.820259566,0.790697296,0.670448686
60045,0.425517012,0.877378726,0.892723648,0.928053209,0.909987977,0.894451425,0.813389716
60046,0.378471338,0.739291029,0.73638518,0.682642372,0.803846605,0.762151447,0.81156717
60047,0.415940902,0.740906105,0.769077396,0.768328739,0.85605537,0.840999227,0.895859522
60048,0.403637525,0.739061524,0.717569171,0.73457866,0.786144776,0.827794886,0.597781394
60052,0.116228302,0.410541889,0.223230392,0.306856238,0.480599414,0.562506972,0.775976345
60053,0.142523469,0.445735225,0.423443376,0.379252094,0.506029517,0.62518587,0.879694541
60054,0.158052027,0.453419296,0.541576147,0.476662987,0.490696323,0.629724779,0.912819095
60055,0.138622572,0.500365071,0.527123973,0.575422843,0.58613312,0.757301931,0.879584241
60056,0.20089071,0.700503775,0.665474029,0.699827661,0.702429122,0.628352451,0.895928196
60059,0.021814048,0.076059003,0.029099458,0.115905075,0.076175115,0.230652897,0.145608151
60060,0.00131134,0,0,0,0,0,0
60069,0.171676473,0.614945166,0.625217058,0.601125992,0.626925754,0.676663681,0.864620441
60073,0.419816927,0.776945589,0.791434567,0.806521798,0.798012834,0.766163998,0.79673145
60074,0.458606887,0.929730842,0.946187306,0.964006402,0.98192646,0.858573312,0.811145876
60075,0.342156489,0.642704957,0.527375191,0.638165908,0.701361985,0.690310317,0.679913213
60076,0.317127675,0.691915913,0.743383123,0.748728949,0.70704043,0.771657357,0.655231722
60091,0.341694728,0.824888206,0.840723974,0.786596395,0.8918524,0.883575937,0.503189817
60092,0.344003625,0.842928606,0.946246232,0.910193403,0.874278754,0.929130778,0.685585094
60101,0.329903822,0.522555712,0.517532324,0.545039549,0.538958657,0.474042055,0.570446422
60102,0.309420409,0.40312248,0.372755994,0.459579464,0.384442647,0.443421351,0.567711769
60106,0.463547366,0.877278139,0.892747855,0.856450087,0.94587051,0.964498807,0.965077456
60107,0.379532667,0.468056707,0.632278231,0.578734044,0.628452077,0.728423705,0.68036139
60108,0.440082679,0.793907891,0.806364307,0.806821119,0.821033387,0.693318548,0.710843847
60109,0.399534152,0.929740899,0.946194125,0.981992006,0.927926601,0.850625502,0.658233383
60120,0.078375957,0.189128429,0.137271223,0.19581449,0.258450041,0.316955758,0.294869596
60121,0.021060876,0.099689172,0.027138204,0.061029682,0.167596719,0.235758407,0.430994119
60122,0.001635861,0,0,0,0,0,0
60123,0.020468412,0.055267581,0,0.024947967,0.050393431,0.243176068,0.315103737
60169,0.345932291,0.638837945,0.700632182,0.716857874,0.661328611,0.634432846,0.509246183
60170,0.237779823,0.877412763,0.770376166,0.892707302,0.786171297,0.604575644,0.539617752
60171,0.333914437,0.727726325,0.698539829,0.724954869,0.78802249,0.696066495,0.512134322
60172,0.339086596,0.774783706,0.753701942,0.771972704,0.803166035,0.782936101,0.489389898
60182,0.255983194,0.327814624,0.347052743,0.415170458,0.270682518,0.295276759,0.382367385
60191,0.172809384,0.652683086,0.599184374,0.662156671,0.660039281,0.591013839,0.330057114
60192,0.320847339,0.403876076,0.471071002,0.444214073,0.516712102,0.536265422,0.447316166
60194,0.360345001,0.704360679,0.751035935,0.768420031,0.755387095,0.714993948,0.652922408
60198,0.135840119,0.381308877,0.476166411,0.374493884,0.330468101,0.272576497,0.323550803
60199,0.232539421,0.799340767,0.769230359,0.781808764,0.828577886,0.748431638,0.441114425
60200,0.438679588,0.779156288,0.738803959,0.823125362,0.755358325,0.876394243,0.84546441
60201,0.336694671,0.754609245,0.777341957,0.795382269,0.632352191,0.482942321,0.427968919
60202,0.248435901,0.478510122,0.581618828,0.494179734,0.466150187,0.348321128,0.446770327
60203,0.256601314,0.140937359,0.15572341,0.155403676,0.224240768,0.452985141,0.67254551
60205,0.353805158,0.603330745,0.530704077,0.563303323,0.657635751,0.710559465,0.732996096
60206,0.436991889,0.894671283,0.892561022,0.928011866,0.928011715,0.982253179,0.810581054
60208,0.291982138,0.485875748,0.422436391,0.483573624,0.504785475,0.357987109,0.466630775
60209,0.323650885,0.527883347,0.410427726,0.434463566,0.566533208,0.77889122,0.722276152
60210,0.330853211,0.585441231,0.500235753,0.562582239,0.678005082,0.571628026,0.472384724
60235,0.314096459,0.638031923,0.631886844,0.665636563,0.749812876,0.806652303,0.726314785
60236,0.012059361,0.174400194,0.220248084,0.228810288,0.114972667,0.01101828,0.117859441
60237,0.313293308,0.628942237,0.685500313,0.72178861,0.590183508,0.455639092,0.467893411
