FID,lon,lat,year,month,svid,north_angle
1485,121.4927583,31.35390127,2019,6,09000300121906091225592918W,248.305
1495,121.4972382,31.35424265,2019,6,09000300121906091224370528W,339.207
1496,121.49745,31.35376155,2019,6,09000300121906091224317668W,341.536
1519,121.5248479,31.35416065,2019,5,09000300121905211303427978X,201.843
1520,121.5252721,31.35514905,2019,5,09000300121905211303200928X,196.711
1525,121.525713,31.35610135,2019,5,09000300121905211303035148X,199.305
1526,121.525929,31.35657666,2019,5,09000300121905211302561708X,198.182
1532,121.5307886,31.35480734,2019,5,09000300121905211201431138X,15.763
1533,121.5306043,31.35431536,2019,5,09000300121905211201347128X,12.601
1535,121.5311224,31.35580302,2019,5,09000300121905211202039798X,15.494
1536,121.5313176,31.35628895,2019,5,09000300121905211202190388X,351.538
1541,121.5314821,31.35527832,2019,5,09000300121905211318137738X,271.913
1542,121.5320006,31.35521546,2019,5,09000300121905211316200648X,283.032
1544,121.5329859,31.35486053,2019,5,09000300121905211316070168X,291.194
1545,121.5334827,31.35469477,2019,5,09000300121905211316011498X,290.289
1546,121.5339578,31.35447095,2019,5,09000300121905211315548988X,294.831
1547,121.5344471,31.35428627,2019,5,09000300121905211315504018X,295.39
1558,121.5276608,31.35459534,2019,5,09000300121905211311122798X,116.761
1559,121.5281308,31.35435991,2019,5,09000300121905211311230128X,114.174
1560,121.5286106,31.35414862,2019,5,09000300121905211311335598X,116.18
1561,121.529116,31.35401008,2019,5,09000300121905211311447938X,103.667
1567,121.5353669,31.35509122,2019,5,09000300121905211314291968X,14.045
1568,121.5352201,31.35458734,2019,5,09000300121905211314209978X,10.974
1569,121.535069,31.35408369,2019,5,09000300121905211314090108X,10.358
1605,121.5589185,31.36005977,2019,5,09000300121905210950060048X,110.123
1606,121.5594004,31.35986532,2019,5,09000300121905210950087238X,109.566
1607,121.5598946,31.35968592,2019,5,09000300121905210950115358X,112.414
1608,121.5603834,31.35949321,2019,5,09000300121905210950155238X,111.186
1609,121.5608773,31.35931366,2019,5,09000300121905210950182418X,111.013
1610,121.5613697,31.35913028,2019,5,09000300121905210950222268X,111.516
1611,121.5618582,31.35893689,2019,5,09000300121905210950249948X,110.943
1612,121.5623554,31.35876547,2019,5,09000300121905210950290948X,110.882
1613,121.5628435,31.3585713,2019,5,09000300121905210950317038X,110.978
1632,121.5639302,31.35456595,2019,5,09000300121905211435266358X,307.391
1633,121.564095,31.35406877,2019,5,09000300121905211435169878X,353.73
1634,121.5641347,31.35354596,2019,5,09000300121905211435122998X,353.139
1635,121.5642084,31.35303148,2019,5,09000300121905211435062598X,352.714
1677,121.5734417,31.35541031,2019,5,09000300121905220832110218X,2.956
1678,121.5734399,31.35488437,2019,5,09000300121905220832047088X,1.786
1680,121.5733949,31.35383559,2019,5,09000300121905220831531798X,2.069
1726,121.5834238,31.35629546,2019,5,09000300121905230831411088X,105.592
1727,121.5839365,31.35619642,2019,5,09000300121905230831456988X,106.952
1729,121.5824465,31.35650874,2019,5,09000300121905211357278208X,102.182
1730,121.5829666,31.3565473,2019,5,09000300121905230831361348X,103.615
1733,121.5817011,31.35748242,2019,5,09000300121905230818397698X,286.591
1745,121.5885123,31.35480582,2019,5,09000300121905230836197258X,117.92
1746,121.5889766,31.35456578,2019,5,09000300121905230836254448X,123.322
1747,121.5894387,31.35432029,2019,5,09000300121905230836299198X,119.821
1748,121.5899102,31.35408803,2019,5,09000300121905230836338118X,115.22
1749,121.5903751,31.35385012,2019,5,09000300121905230836376088X,113.85
1750,121.5908714,31.3536828,2019,5,09000300121905230836422428X,114.945
1755,121.584486,31.35599968,2019,5,09000300121905230831499908X,106.009
1766,121.3978534,31.34903724,2019,6,09000300121906051252265148W,73.875
1776,121.4004744,31.34957543,2019,6,09000300121906051252433398W,71.267
1777,121.3999677,31.34944651,2019,6,09000300121906051252397508W,71.827
1779,121.3989656,31.34914562,2019,6,09000300121906051252337488W,70.9
1782,121.4011306,31.34920081,2019,6,09000300121906051032268658W,345.784
1783,121.4012933,31.34870275,2019,6,09000300121906051032169578W,345.916
1784,121.4014316,31.34819971,2019,6,09000300121906051032099238W,345.947
1785,121.4015908,31.34770038,2019,6,09000300121906051032029468W,346.414
1786,121.4017328,31.34719866,2019,6,09000300121906051030286128W,344.866
1787,121.4018889,31.34669824,2019,6,09000300121906051030209878W,345.349
1788,121.4020322,31.34619697,2019,6,09000300121906051030123908W,345.917
1789,121.4021867,31.34569602,2019,6,09000300121906051030040868W,345.668
1791,121.4024868,31.34469836,2019,6,09000300121906051029306208W,343.032
1792,121.4026515,31.34420603,2019,6,09000300121906051029242668W,348.773
1793,121.4027871,31.34370091,2019,6,09000300121906051029165748W,346.168
1794,121.4029492,31.34320763,2019,6,09000300121906051029065538W,345.854
1795,121.4030874,31.34270336,2019,6,09000300121906051028593278W,345.702
1796,121.4032418,31.3422065,2019,6,09000300121906051028530298W,346.619
1797,121.4033857,31.34170512,2019,6,09000300121906051028430808W,329.178
1798,121.4038618,31.34160195,2019,6,09000300121906051028274888W,258.958
1799,121.4043719,31.34170593,2019,6,09000300121906051028229018W,259.422
1800,121.404888,31.34176738,2019,6,09000300121906051028193748W,259.809
1801,121.405408,31.34181345,2019,6,09000300121906051028153028W,260.371
1802,121.4059185,31.34191253,2019,6,09000300121906051028104678W,260.371
1803,121.4064291,31.34201208,2019,6,09000300121906051028049768W,258.726
1805,121.4074653,31.342121,2019,6,09000300121906051027038948W,261.859
1806,121.4079763,31.34221738,2019,6,09000300121906051026589448W,262.464
1807,121.4084877,31.34231125,2019,6,09000300121906051026487638W,261.034
1808,121.4090013,31.34239318,2019,6,09000300121906051026410328W,264.801
1809,121.4095244,31.34241859,2019,6,09000300121906051026348728W,269.248
1812,121.4014593,31.34984514,2019,6,09000300121906051032456918W,70.554
1813,121.4019603,31.34999942,2019,6,09000300121906051032499178W,72.775
1814,121.4024546,31.35017221,2019,6,09000300121906051032541628W,71.12
1815,121.4029614,31.35029893,2019,6,09000300121906051032589738W,70.251
1816,121.4034555,31.3504729,2019,6,09000300121906051035406078W,70.876
1817,121.403953,31.35063663,2019,6,09000300121906051035458738W,71.189
1818,121.4044537,31.35078696,2019,6,09000300121906051035509108W,71.086
1819,121.4049551,31.35093389,2019,6,09000300121906051035548278W,71.649
1820,121.4054519,31.35109994,2019,6,09000300121906051035596698W,71.325
1821,121.405956,31.35124003,2019,6,09000300121906051036120638W,145.891
1822,121.4062044,31.35077467,2019,6,09000300121906051036262008W,158.466
1823,121.406415,31.35029303,2019,6,09000300121906051036330498W,159.601
1824,121.4066207,31.34980929,2019,6,09000300121906051036391008W,159.103
1825,121.4068247,31.34932476,2019,6,09000300121906051036446628W,157.684
1826,121.4070372,31.34884399,2019,6,09000300121906051036506378W,158.915
1827,121.4072413,31.34835957,2019,6,09000300121906051036559308W,158.367
1828,121.4074383,31.3478726,2019,6,09000300121906051037003028W,159.646
1829,121.4076473,31.34739325,2019,6,09000300121906051037043738W,158.509
1830,121.4078923,31.34692862,2019,6,09000300121906051037114208W,173.296
1831,121.4081275,31.3464585,2019,6,09000300121906051025024708W,336.063
1832,121.4083417,31.3459813,2019,6,09000300121906051024559998W,337.563
1833,121.4085333,31.34549437,2019,6,09000300121906051024482558W,348.035
1834,121.4087736,31.34502982,2019,6,09000300121906051024395198W,337.201
1835,121.4089825,31.34454973,2019,6,09000300121906051024260388W,334.499
1836,121.4091945,31.34407073,2019,6,09000300121906051024121728W,335.092
1837,121.4093798,31.34357935,2019,6,09000300121906051024054348W,346.173
1838,121.4095245,31.34307425,2019,6,09000300121906051023595468W,349.35
1839,121.4097431,31.3425981,2019,6,09000300121906051023528148W,346.435
1840,121.4064714,31.35139372,2019,6,09000300121906051044449398W,73.908
1841,121.4069763,31.35153975,2019,6,09000300121906051044532418W,71.038
1842,121.4074818,31.35167757,2019,6,09000300121906051044581568W,71.191
1843,121.4079834,31.35181366,2019,6,09000300121906051045024668W,70.718
1844,121.4084793,31.35198044,2019,6,09000300121906051045070748W,71.075
1845,121.4089855,31.35210932,2019,6,09000300121906051045111888W,72.492
1846,121.4094698,31.35230674,2019,6,09000300121906051045162528W,73.341
1847,121.4099807,31.35240647,2019,6,09000300121906051045202708W,74.62
1848,121.4104904,31.35252072,2019,6,09000300121906051045243928W,75.014
1860,121.4118119,31.35274213,2019,6,09000300121906051045329848W,78.093
1861,121.4112872,31.35272555,2019,6,09000300121906051045294248W,77.212
1864,121.4127167,31.35308641,2019,6,09000300121906051045393368W,78.743
1871,121.4188523,31.35000112,2019,6,09000300121906081154479958W,74.038
1872,121.4193631,31.35012558,2019,6,09000300121906081154549968W,70.758
1873,121.4198738,31.35025065,2019,6,09000300121906081155004348W,74.333
1874,121.4203831,31.35038091,2019,6,09000300121906081155064558W,74.202
1875,121.4208925,31.35051117,2019,6,09000300121906081155125568W,73.621
1876,121.4214033,31.35063558,2019,6,09000300121906081155179298W,75.236
1877,121.421914,31.35076035,2019,6,09000300121906081210097108W,255.027
1878,121.4224231,31.35089266,2019,6,09000300121906081210037428W,253.029
1879,121.422933,31.35102079,2019,6,09000300121906081155346418W,74.318
1880,121.4179215,31.34926341,2019,6,09000300121906021107231458W,348.678
1881,121.4180508,31.34875359,2019,6,09000300121906021106037738W,351.523
1882,121.4181877,31.34824579,2019,6,09000300121906021105579548W,348.611
1883,121.4183317,31.3477399,2019,6,09000300121906021105540388W,348.916
1884,121.418485,31.34723693,2019,6,09000300121906021105489848W,348.804
1885,121.4173278,31.34961429,2019,6,09000300121906021117554548W,252.462
1886,121.416827,31.34946356,2019,6,09000300121906021118045518W,257.038
1909,121.4235713,31.3506665,2019,6,09000300121906081146053118W,159.841
1910,121.4237653,31.35018053,2019,6,09000300121906081146108588W,162.784
1911,121.4239366,31.34968533,2019,6,09000300121906081146171768W,163.663
1912,121.4241273,31.34919777,2019,6,09000300121906081146234798W,162.698
1913,121.4243033,31.34870889,2019,6,09000300121906081146289868W,162.444
1914,121.4244887,31.34822046,2019,6,09000300121906081146354868W,162.47
1915,121.4246828,31.34773454,2019,6,09000300121906081146416638W,162.466
1917,121.4238939,31.35122212,2019,6,09000300121906081156354258W,74.59
1918,121.424396,31.35136506,2019,6,09000300121906081156420318W,69.144
1919,121.4249027,31.35149235,2019,6,09000300121906081156490938W,75.215
1920,121.4254138,31.35159352,2019,6,09000300121906081156548588W,74.621
1921,121.425923,31.3517111,2019,6,09000300121906081157008398W,74.548
