name,lon,lat,May,June,July,Aug,Sep,Oct
30010,121.552819,31.25616884,2659.431136,2601.674268,2704.034432,2570.36479,2441.964028,2808.383031
30011,121.5531912,31.25579723,2544.783229,2686.701509,2518.165452,2510.725391,2487.338704,2880.647526
30012,121.5535634,31.25542561,2602.976863,2770.826853,2725.225368,2621.213831,2776.947453,2943.945713
30013,121.5538925,31.25502426,3227.005123,3531.094931,3539.529088,3252.457804,3225.296475,3280.402731
30014,121.5515656,31.25310883,835.7729873,870.3096442,930.6178986,811.0928329,410.1514422,617.8130431
30015,121.5511755,31.25275787,845.0830335,918.170363,832.2508772,842.33017,912.7386991,923.6731835
30016,121.5507922,31.25239812,537.6137712,703.5153415,676.6993686,497.2723301,791.9721987,859.9524889
30017,121.5503795,31.2520732,300.7199638,258.2775192,305.3029774,382.2812869,524.6648064,862.2570122
30018,121.5500101,31.25169896,313.0007067,608.8606755,277.2995263,424.771927,310.6399896,348.599385
30020,121.5560375,31.25642716,1317.586496,1291.174559,1480.444464,1319.369584,1276.130944,1188.257726
30021,121.5555882,31.25615704,1726.335393,1872.342902,1842.047411,1819.73684,1768.123624,1558.560866
30022,121.5551678,31.25584509,2082.649966,2446.463942,2204.756355,2363.947393,2217.577384,2444.012273
30024,121.5543118,31.25523983,3379.867678,3484.073985,3418.352355,3145.99779,2942.838239,3177.27334
30029,121.5544765,31.25461599,1862.551012,1925.902127,1876.696,1737.260124,2079.800507,2085.088319
30030,121.5548706,31.25426988,2143.2068,2291.388909,2117.579172,2012.194088,2302.640535,2389.113195
30031,121.5552434,31.2539004,3157.451587,3096.205979,2878.088753,3245.129198,3151.724231,3542.614205
30032,121.5556601,31.25358094,2767.916114,3118.566936,3068.766125,2743.452412,2406.624143,2534.472815
30033,121.5560326,31.25321105,2546.272698,2621.638607,2561.807069,2202.56545,2575.405942,2793.508419
30034,121.5564029,31.25283905,2728.213109,2917.34528,2911.133683,2807.320444,2377.608044,2467.520936
30036,121.5571697,31.25212249,2895.110411,2922.593444,2859.723259,2909.484612,2906.83771,3280.658477
30037,121.557542,31.25175086,2310.016993,2345.100687,2340.717771,2246.668403,2379.732258,2810.895805
30038,121.5579142,31.25137923,2356.364481,2524.55349,2594.11516,2399.782459,2520.567507,2785.306615
30039,121.556884,31.25628579,1522.283611,1607.786731,1552.338567,1669.236336,1773.616105,1624.317262
30040,121.5572289,31.25589171,1665.587401,1722.386404,1631.153345,1705.508406,1728.634813,1803.612087
30041,121.5575741,31.25549837,2760.164871,2728.62422,2766.963226,3211.569757,2981.707169,2630.706651
30042,121.5579445,31.25512507,1703.755893,1613.706664,1706.849406,1837.383467,1699.011582,1634.990677
30043,121.5582951,31.25473501,2045.60892,2147.623177,2144.275175,2191.4128,1876.61746,1925.317526
30044,121.5586319,31.25433372,1977.200897,1991.157976,2172.290119,2013.263883,2218.102062,2283.450502
30045,121.5589891,31.25394907,2154.170867,1955.568057,2049.842727,2167.177951,2111.847843,2283.233583
30046,121.5593327,31.253555,1932.223099,2037.817789,2078.637848,1674.185625,2048.540578,1977.397429
30047,121.5596665,31.25315026,2203.636751,2374.19655,2368.931224,2225.420254,2121.649612,2149.520457
30048,121.5600348,31.25277746,2111.604997,2169.5668,2119.131012,2268.828533,2462.296377,2267.869662
30049,121.5531731,31.25259515,2973.270105,3022.601049,2957.085746,2850.219627,3004.071002,2846.89615
30050,121.5535129,31.25219964,1988.521241,2211.451858,2062.399773,1992.257677,1452.429928,2054.70783
30051,121.5539133,31.25186173,1992.160546,1803.092433,2031.167525,2136.700465,2365.772492,2134.143081
30052,121.5542843,31.25148883,2078.927066,2410.434915,2342.964121,1965.268846,2351.036384,2218.043434
30053,121.5546552,31.25111593,1881.031637,2078.368179,2085.317509,2078.76106,1978.254119,2251.048337
30054,121.5550433,31.2507626,2385.975729,2634.622115,2520.701179,2170.179381,1796.223503,1741.644587
30055,121.5554236,31.2503997,1504.979407,1549.186715,1414.949982,1918.868618,1642.957708,1685.539225
30056,121.5558025,31.25003529,1582.196182,1319.744167,1391.12229,1544.899437,1910.110378,1875.387333
30058,121.5634126,31.25435648,2288.373377,2299.13793,2291.547144,2091.0249,2082.281634,2022.386431
30059,121.5638592,31.2546321,2560.246502,2833.111114,2569.449052,2499.776995,2204.646107,2088.004662
30060,121.5643072,31.25490506,2612.08492,2647.442895,2496.437901,2498.735231,2081.914091,2130.892458
30061,121.5647504,31.25518671,2576.15692,2654.118863,2759.371422,2713.672272,2451.047125,2422.981601
30062,121.5651733,31.25549698,3152.004397,3245.921062,3079.053463,3134.426734,3304.888625,3586.108261
30068,121.562818,31.2532695,2845.948502,3029.846633,2981.51104,2891.631546,2651.769961,2793.910344
30069,121.5631195,31.25283861,2444.473528,2529.617797,2618.216491,2488.741674,2762.645426,2931.928198
30070,121.5634123,31.25240165,2920.254128,2894.727346,2983.983719,2890.414139,2990.390156,3125.990696
30071,121.563717,31.25197306,2973.112132,3146.3024,3186.019826,2712.383227,2777.938862,3073.655773
30072,121.5640055,31.25153328,2598.380106,2719.691002,2609.788725,2519.659352,2461.3733,2449.824149
30073,121.5643174,31.25110974,2472.505893,2735.375645,2725.868148,2273.693435,2723.891023,2849.022735
30074,121.564628,31.25068554,2999.461555,2980.091921,3031.548155,3033.364405,2674.465779,2602.351506
30079,121.5656883,31.25520485,3028.9489,2862.8824,3012.712357,3217.433551,3452.81202,3140.77136
30080,121.5659665,31.25475845,2498.859619,2531.308231,2537.89687,2701.345009,2736.838176,2745.967423
30081,121.5662447,31.25431205,3641.128911,3355.476127,3570.687771,3682.432158,3747.458291,3754.978226
30082,121.5665228,31.25386564,3469.995944,3574.786863,3405.755894,3528.267976,3549.47287,3168.391895
30083,121.5668106,31.25342543,3214.162754,3255.5651,3099.768921,3291.073481,3296.570415,3375.590001
30084,121.5670847,31.25297669,3059.880731,3495.343877,3578.683512,3027.662971,3379.970831,3029.185945
30085,121.5673711,31.25253563,3742.016475,3733.279524,3620.238498,3785.161959,3793.878367,3636.937177
30086,121.5675959,31.25206227,3675.377065,3942.843552,3610.022478,3661.938075,3404.226539,3623.828295
30088,121.5663257,31.2561349,2758.820097,3000.490099,2735.423393,2839.397545,2615.866766,2959.758938
30089,121.5658723,31.25586896,2547.009669,2718.226612,2658.312116,2532.404285,2643.160475,2509.426379
30090,121.5653983,31.25564092,3229.288603,3207.952716,3268.016149,3414.340928,3158.849288,3227.999927
30091,121.5673573,31.25666295,3078.220166,3172.699497,3108.055296,3055.135335,3224.200388,3181.090689
30092,121.5669072,31.25641304,2960.134394,3112.611342,3051.673284,2957.627262,2548.421747,2624.204385
30094,121.5721655,31.25465629,1846.875155,1683.906012,1738.677143,2095.8227,1913.407421,1891.678529
30095,121.5717248,31.25437036,1494.774807,1512.145498,1537.210132,1619.591997,1775.359769,1703.493151
30096,121.5712921,31.25407288,1635.936707,1802.32289,1814.77009,1650.66298,1461.974513,1004.830838
30097,121.5709014,31.25373696,2626.040788,2697.797688,2700.712536,2805.710132,2868.701423,2745.712797
30098,121.5718895,31.25492591,2082.636533,2024.256745,2158.681189,2185.822487,2549.739575,2737.694731
30099,121.5714566,31.25463021,2326.026047,2215.059853,2076.750929,2315.788134,2369.98723,2813.490527
30100,121.5710354,31.25431978,2194.037926,2184.604212,2112.115522,2462.592771,2672.498283,2316.149415
30102,121.5728762,31.25562163,1588.895564,1720.070934,1308.330528,1756.427419,1368.625395,1687.412182
30103,121.5733066,31.25592033,1855.720937,1786.408866,1763.080886,2113.305084,1909.758525,1960.697316
30104,121.5731869,31.25534283,1632.881824,1901.105061,1640.915954,1783.998901,1693.986751,1623.673492
30105,121.5736048,31.25565805,2179.629361,2111.163838,2124.949068,2065.922019,1973.312216,1636.810563
30106,121.5740105,31.25598775,2431.177032,2299.259333,2348.935248,2176.097423,1951.267541,1774.25487
30107,121.5744438,31.25628414,2011.2914,2122.077183,1998.634988,2171.456887,1925.443395,2036.748396
30109,121.5753204,31.25686225,1983.256132,1819.409668,1942.701997,1869.230233,2047.838924,1909.985559
30110,121.5757408,31.25717505,2445.773351,2279.875444,2267.994529,2673.32608,2101.71489,1784.661774
30111,121.5707382,31.2564706,3106.366904,3265.254506,3254.270883,3134.983382,2694.555781,2552.58205
30112,121.572073,31.25544108,2974.625079,3321.258903,3219.739324,2800.110449,2767.355357,3197.999699
30113,121.5712426,31.25608677,2535.275108,2888.080889,2837.156892,2548.675486,2329.878108,2385.573233
30114,121.5708134,31.25639081,2776.148606,2716.921444,2869.136747,2772.642443,2397.014556,2755.572383
30116,121.5711021,31.25684944,3106.369098,3265.256163,3254.272935,3134.985755,2694.557262,2552.583065
30117,121.5716618,31.25577437,2195.677327,2192.770171,2325.230751,2307.463449,2351.23644,2133.768213
30124,121.5733175,31.25463823,2242.83816,2571.926597,2495.633185,2432.677015,2444.278178,2413.57264
30126,121.5712379,31.2533154,2126.067456,2367.853177,2325.85292,2123.307504,2529.797499,2305.871097
30127,121.5716318,31.25296812,1685.220972,1907.701484,1857.26153,1500.310073,1611.337139,2148.576258
30128,121.5720039,31.25259633,1591.123078,1635.068428,1736.85555,1708.996079,1715.68928,1670.289588
30129,121.5723759,31.25222453,1348.437233,1673.363357,1564.277777,1440.22808,1570.561307,1474.822019
30130,121.572748,31.25185273,1209.89219,1386.560673,1225.247579,1628.139093,1409.728379,1874.829663
30131,121.57312,31.25148093,946.9955941,790.0389684,996.612392,825.0727733,738.6035734,1373.054836
30132,121.5734921,31.25110913,1786.515043,1866.454302,1778.842884,2019.286225,2318.613408,2386.044092
30133,121.5738641,31.25073733,1479.575556,1523.659244,1400.239108,1525.841583,1532.608701,1502.776051
30134,121.5742361,31.25036553,2636.53211,2665.016693,2458.055235,2608.832169,2378.869108,2696.206573
30135,121.5700641,31.25329059,2223.970973,2347.672078,2444.249041,2577.922169,2378.229092,2728.353751
30136,121.5696265,31.25299964,2745.706898,2672.968263,2774.236692,2875.786415,3477.711155,3240.362477
30137,121.5691849,31.25271469,3175.829337,3216.475509,3151.352902,3311.213587,3214.354347,3043.451146
30138,121.5687433,31.25242985,3177.83703,3223.101412,3185.507339,3429.989968,3300.768912,2845.673642
30139,121.5683063,31.25213804,3389.204757,3542.988261,3542.355211,3148.81533,2839.102737,2554.497279
30140,121.5678882,31.25181927,2917.205465,3069.073114,3016.884855,3149.810063,3579.417531,3431.921319
30141,121.5698404,31.25352859,1838.025578,1990.44379,2075.456027,1878.383203,2078.697923,2484.900102
30142,121.5694042,31.25324537,2793.719919,3083.849519,3208.986373,2805.611372,2603.980876,3390.095076
30143,121.5689679,31.25296246,2930.727991,2924.32652,3024.752808,3111.992217,3242.038699,3138.595906
30144,121.5685273,31.25267737,2861.246655,2805.21412,2763.59633,3079.151244,3499.276011,3721.669405
30145,121.5680904,31.25238711,3769.664236,3875.389619,3874.785119,3816.102252,3655.712003,3153.612626
30146,121.5676957,31.25204206,3675.376941,3942.843507,3610.022395,3661.938043,3404.226574,3623.828267
30151,121.5673632,31.25438861,3321.119612,3362.056834,3273.967684,3060.13584,2872.989055,3117.261836
30161,121.5702168,31.25672619,2815.556516,2793.505225,2696.37546,2403.225386,2510.033244,2665.601211
30162,121.5706785,31.25647607,3106.366929,3265.254477,3254.270833,3134.983449,2694.556127,2552.582372
