name,lon,lat,2013_average,2019_average,2019-2013
279,121.4849724,31.37188895,2418.352865,2946.32263,527.9697647
280,121.4854437,31.37211652,1867.180463,2623.42054,756.2400775
281,121.4859119,31.37234805,1924.205826,1388.472876,-535.73295
343,121.4868334,31.37284005,1744.967508,2244.486042,499.518534
344,121.487304,31.37307495,2565.123699,1924.850442,-640.2732563
345,121.4877882,31.37327549,1918.333944,1943.111376,24.77743217
527,121.4625537,31.36675447,3648.018751,3551.922404,-96.09634717
528,121.4627201,31.36625732,2831.120285,2787.316602,-43.80368283
529,121.4628852,31.36576004,3154.124786,2200.024757,-954.1000287
530,121.4630593,31.36526607,3465.668452,3246.244286,-219.424166
531,121.4632525,31.36478098,3556.843955,3398.196598,-158.6473568
532,121.4634084,31.36428051,2873.673157,2242.077036,-631.596121
533,121.4635825,31.3637864,3157.880384,2773.942361,-383.938023
534,121.4637455,31.36328842,2735.432039,2199.742199,-535.6898393
535,121.4639133,31.36279181,3681.082153,3103.077386,-578.0047662
536,121.4641066,31.36230742,3469.525749,3213.480327,-256.045422
537,121.4642875,31.36181489,2687.776455,2361.755237,-326.0212178
538,121.4644727,31.36132333,3823.456311,3616.45965,-206.9966608
587,121.4913628,31.36536008,2697.83893,2216.268873,-481.5700567
588,121.4908758,31.36516764,1641.428169,746.3664949,-895.0616739
589,121.4903955,31.36495924,739.8716252,386.9763308,-352.8952944
590,121.4899084,31.36477172,2515.220087,2548.171102,32.951015
591,121.489404,31.36463235,1517.162622,1158.96417,-358.1984523
592,121.4889033,31.36447644,2049.976155,2037.242526,-12.733629
593,121.4884223,31.36427126,2973.350732,1978.707453,-994.643279
595,121.4874425,31.36391078,3572.694095,2619.367252,-953.3268435
825,121.5529455,31.36792993,4107.056763,3389.306915,-717.7498485
836,121.5538925,31.36773089,4220.567662,3095.137829,-1125.429833
838,121.5548739,31.36736071,3531.017939,2091.249322,-1439.768618
877,121.4406677,31.35989465,4188.160255,3172.919127,-1015.241128
878,121.4409075,31.35943066,4408.124749,3079.394216,-1328.730533
879,121.4411514,31.35896983,3116.975443,3566.732104,449.7566607
892,121.4484325,31.3611222,3318.286779,2764.114649,-554.1721303
908,121.447171,31.35931854,4287.303026,3896.764813,-390.5382127
913,121.4517706,31.36425738,688.3692338,2622.719069,1934.349835
914,121.447928,31.36226672,2554.246502,1905.68577,-648.5607312
915,121.4481218,31.36178262,2892.791403,2396.882962,-495.9084412
917,121.4533406,31.36073349,3983.755801,3569.480475,-414.275326
918,121.4535737,31.36026201,4079.106152,3618.274894,-460.8312587
927,121.4532711,31.36168392,3104.198726,3357.264111,253.0653855
928,121.4536829,31.3607216,3757.845609,3660.720923,-97.12468567
929,121.4528049,31.36207967,3499.396379,3259.116696,-240.2796825
930,121.4530215,31.36229051,2846.240763,3267.573773,421.3330103
931,121.4524992,31.36279403,3495.188642,3124.480542,-370.7081002
932,121.4527369,31.36301198,3508.18582,3311.631669,-196.5541512
1028,121.5216583,31.35927996,4465.680539,3873.645086,-592.0354527
1079,121.5220572,31.35933576,3989.009559,3556.681188,-432.328371
1080,121.5230764,31.35948395,3583.309374,3225.729984,-357.5793902
1081,121.5235799,31.35962628,4425.663871,4006.110705,-419.5531662
1082,121.5240875,31.35975471,4254.086365,3847.558259,-406.5281063
1083,121.5245977,31.35987662,3867.763293,3581.955084,-285.808209
1084,121.5251191,31.3598655,4023.660941,3807.897193,-215.7637485
1085,121.5225758,31.36002262,4005.978621,3564.899982,-441.0786388
1177,121.5490752,31.36405857,4587.595899,3709.683164,-877.9127355
1178,121.5495653,31.36387282,4683.690976,4106.7986,-576.892376
1179,121.550059,31.36369984,4419.814216,3803.546065,-616.2681503
1180,121.55055,31.36352929,4523.323384,3785.443496,-737.8798883
1182,121.5515278,31.36317345,4552.466736,3722.481086,-829.9856498
1183,121.5520145,31.36298072,4336.17929,3919.810932,-416.3683572
1185,121.5530036,31.36263754,4617.298969,3994.431628,-622.8673405
1186,121.5534915,31.36244753,4545.725967,3962.879683,-582.8462842
